inputs ClimbRate, Sgz, P, Q, CurPitch, CurRoll, AbsRoll, DiffClb, DiffRollRate, DiffDiffClb, SeTime1, SeTime2, SeTime3, SeTime4, SeTime5, SeTime6, SeTime7, SeTime8, SeTime9, SeTime10, SeTime11, SeTime12, SeTime13, SeTime14, DiffSeTime1, DiffSeTime2, DiffSeTime3, DiffSeTime4, DiffSeTime5, DiffSeTime6, DiffSeTime7, DiffSeTime8, DiffSeTime9, DiffSeTime10, DiffSeTime11, DiffSeTime12, DiffSeTime13, DiffSeTime14, Alpha, Se, Goal
-38,-42,-0.27,0,0.53,0.5,-7,0,-0.024,0.3,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.017,0.017,0.017,0,0,0,0,0,0,0,0,0,0,-0.002,0,0,0,0.5,0.017,-5.00E-04
-456,28,-0.11,0.12,0.95,0.6,-7,-12,-0.012,0,0.018,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,-0.002,0,0,0,-0.001,0,0,0,0,0,0,0,0,0,0.5,0.019,-8.00E-04
-39,-29,0.37,0.06,0.55,1,-6,-4,-0.001,-0.6,0.017,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,-0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.018,-6.00E-04
-171,54,0.61,0.44,0.82,1.7,-14,-33,-0.026,-2.3,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.023,0.023,0.025,0.025,0.025,0.025,0.025,0,0,0,0,0,0,0,0,-0.002,0,0,0,0,0,0.7,0.025,-0.0011
260,25,0.17,0.06,0.31,-0.4,-6,-6,0.004,-0.1,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.019,-5.00E-04
74,-7,0.3,0.14,0.52,1.4,-9,-13,-0.005,-0.1,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.021,-8.00E-04
231,-47,-0.08,-0.12,0.24,0.2,-9,16,0.008,-0.1,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.015,-6.00E-04
36,-8,-0.26,0.1,1.14,-0.5,-7,-8,-0.005,-0.1,0.042,0.042,0.042,0.042,0.042,0.042,0.042,0.042,0.042,0.042,0.042,0.042,0.042,0.042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,0.042,-8.00E-04
432,-4,0.14,-0.05,0.09,-0.6,-11,9,0.002,-0.1,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0,0,0,0,-0.001,0,0,0,0,0,0,0,0,0,0.5,0.017,-8.00E-04
7,-5,0.08,0.03,0.66,1.6,-6,-2,-0.008,-0.2,0.022,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,-0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0.023,-8.00E-04
-236,1,0.13,0.1,1.73,-0.6,-12,-6,0.002,0.7,0.046,0.048,0.048,0.048,0.048,0.049,0.049,0.051,0.051,0.051,0.051,0.051,0.051,0.051,-0.003,0,0,0,-0.002,0,-0.003,0,0,0,0,0,0,0,1.4,0.051,-0.0019
63,-14,-0.6,0.04,0.74,0.3,-12,4,0.011,-0.3,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.029,-7.00E-04
239,-12,0.15,0.01,0.31,-0.7,-11,5,0.012,-0.2,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.018,-7.00E-04
-277,-75,-0.2,-0.12,0.73,0.3,-6,14,0.002,-0.2,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,-0.001,0,-0.001,0,0,0,0,0,0,0,0,0,0,0,0.5,0.016,-3.00E-04
-128,-32,-0.26,-0.01,0.63,0.2,-13,4,0.011,0.2,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.018,0.018,0.018,0,0,0,0,0,0,0,0,0,0,-0.002,0,-0.001,0,0.5,0.018,-9.00E-04
101,14,0.23,0.13,0.46,1.2,-7,-13,-0.008,-0.2,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,-0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.02,-5.00E-04
42,-17,-0.42,0.09,0.49,0.5,-19,4,0.009,0.4,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.019,-0.001
252,-37,0.15,0.04,0.34,0.4,-13,3,0.003,-0.1,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.02,-0.001
-433,14,-0.8,0.16,0.97,-1.1,-17,-6,0.003,0.4,0.019,0.02,0.02,0.02,0.02,0.02,0.02,0.021,0.021,0.021,0.021,0.021,0.021,0.021,-0.002,0,0,0,0,0,-0.001,0,-0.001,0,-0.001,0,0,0,0.6,0.021,-8.00E-04
31,-14,0.67,0.15,0.61,1,-19,-25,-0.003,3,0.023,0.023,0.023,0.023,0.023,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0.7,0.022,-0.0021
97,-63,-0.27,-0.05,0.42,1.9,-14,10,0.007,-0.5,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.017,-0.0012
59,38,-0.31,0.15,0.51,-1.4,-14,-9,0.009,0.1,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0,0,0,0,0,0,0,0,0,0,0,0,-0.001,0,0.6,0.02,-7.00E-04
-224,-9,-1.04,0.07,1.49,1.1,-18,-3,0.019,1.5,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0,0,0,0,0,0,0,0,0,-0.001,0,0,0,0,1.3,0.043,-0.0014
208,13,-0.16,-0.01,0.3,-1.4,-14,9,0.013,0.1,0.019,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.017,-7.00E-04
40,-16,0.12,0.02,0.5,-0.7,-11,2,0.013,-0.7,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.018,-0.001
-25,-42,-0.68,0,0.51,-0.4,-10,5,0.013,-1.1,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.017,0.017,0.017,0.017,0.017,0,0,0,0,0,0,-0.001,0,-0.001,0,0,0,0,0,0.5,0.017,-3.00E-04
-452,32,0.19,0.29,1.02,0.7,-17,-18,0.004,0.3,0.019,0.02,0.02,0.021,0.021,0.024,0.024,0.024,0.024,0.024,0.024,0.023,0.023,0.023,-0.002,0,-0.002,0,-0.003,0,0,0,0,0,0,0,0,0,0.6,0.023,-0.0013
123,-9,-0.07,-0.09,0.63,-1.5,-7,10,0.009,-0.2,0.03,0.028,0.028,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.003,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0.8,0.026,-6.00E-04
-76,13,0.16,-0.05,0.55,-0.7,-11,14,0.021,-0.4,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.017,-9.00E-04
-119,-53,0.44,0.06,0.63,0.2,-18,7,0.034,0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.019,0.019,0.019,0.019,0.018,0.018,0.018,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0.5,0.018,-0.0015
41,-26,-0.23,0.08,0.81,-0.7,-13,-1,0.003,-0.1,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,-0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0.03,-8.00E-04
313,-28,-0.09,0.18,0.26,0.8,-7,-11,-0.01,-0.9,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,-0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.02,-6.00E-04
-156,-16,-0.3,-0.01,0.63,0.5,-15,12,-0.013,-0.7,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.017,-7.00E-04
38,-40,-0.05,0.08,0.49,1.2,-5,-10,-0.013,-0.1,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,-0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.019,-5.00E-04
-167,-3,0.19,0.02,0.65,1.4,-6,-2,-0.005,-0.1,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.017,-6.00E-04
-179,-27,-0.58,0.04,0.66,1,-14,9,-0.018,-1.5,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.017,-7.00E-04
59,-22,0.1,0.2,0.5,-0.7,-16,-11,0.011,-0.2,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.02,0.02,0.02,0,0,0,0,0,0,0,0,0,0,-0.003,0,-0.001,0,0.6,0.02,-0.0012
121,-40,0.11,0.08,0.42,-0.1,-7,-8,-0.025,-0.9,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,-0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.018,-5.00E-04
45,20,-0.26,0.21,0.53,1.2,-14,-15,-0.045,0,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.021,-9.00E-04
-345,4,0.43,0.22,0.88,1,-12,-10,-0.015,-2,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.02,0.02,0.02,0.02,0.021,0.021,0.021,0,0,0,0,0,0,-0.002,0,0,0,-0.002,0,0,0,0.6,0.021,-0.0011
219,-29,0.22,-0.06,0.3,2,-8,7,-0.021,0,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,-0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.017,-8.00E-04
-108,-6,0.22,0.14,0.67,0.7,-12,-10,-0.008,-0.1,0.02,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,-0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.021,-0.0013
-346,-27,0.33,0.26,0.94,2.1,-8,-23,-0.025,-0.8,0.021,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,-0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.023,-9.00E-04
343,-16,0,0.01,0.19,0,-6,1,-0.003,-0.1,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.017,-6.00E-04
-76,11,-0.21,0.05,0.66,0.7,-7,-12,-0.012,0.6,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.02,0,0,0,0,0,0,0,0,0,0,0,0,-0.002,0,0.6,0.02,-5.00E-04
8,-7,0.29,0.11,0.88,-1.8,-18,3,0.012,0.3,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0.032,-0.0017
-185,3,0.31,-0.03,0.71,0.6,-12,-7,-0.004,2.3,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.018,-0.0011
-286,36,-0.15,0.14,0.82,-0.6,-11,-10,-0.003,0,0.019,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,-0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.02,-6.00E-04
-176,-10,0.29,-0.05,0.65,-1.8,-8,7,0.01,-0.1,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.017,-5.00E-04
88,-21,0.07,-0.05,0.41,-0.6,-7,6,0.007,0.1,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.017,-5.00E-04
22,-45,-0.03,0.14,0.54,0.2,-18,-1,-0.014,0.1,0.022,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.002,0,0,0,0,0,0,0,-0.001,0,0,0,0,0,0.6,0.02,-0.0011
351,-40,0.06,-0.08,0.65,-1.7,-14,14,0.011,-0.2,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.038,0.038,0.038,0,0,0,0,0,0,0,0,-0.001,0,-0.001,0,0,0,1.1,0.038,-0.0012
-363,-15,0.31,0.22,0.94,-1.7,-14,-16,0.015,-0.5,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0,0,0,0,0,0,-0.002,0,0,0,0,0,0,0,0.6,0.022,-0.0011
371,-27,0.42,0.29,0.36,0.1,-10,-16,-0.006,-4.1,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0.025,-0.001
9,-25,0.43,0.2,0.58,-0.4,-11,-17,-0.007,0.1,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.021,-0.001
311,-11,-0.11,0.25,0.67,0.8,-10,2,-0.026,-3.5,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.037,-0.0017
202,-32,0.42,0.15,0.4,-0.4,-11,-14,0.004,0.3,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.021,-8.00E-04
301,45,0.32,0.13,0.29,0.3,-11,-11,-0.008,0.1,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.02,-0.001
90,-32,0.46,0.16,0.53,1.2,-17,-5,-0.029,-0.7,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.022,-0.0018
154,3,-0.25,0.11,0.49,-0.3,-16,2,0.007,-0.2,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.023,-9.00E-04
-208,-68,-0.18,-0.08,0.63,-0.6,-16,22,-0.005,-0.9,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.015,0.015,0.015,0,0,0,0,0,0,0,0,-0.001,0,-0.001,0,-0.001,0,0.4,0.015,-6.00E-04
-42,-9,0.08,0.16,0.93,1.8,-9,-13,-0.013,-0.1,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0.032,-0.0013
-666,-33,0.09,-0.1,1.09,0.8,-9,13,-0.003,0.7,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.017,-6.00E-04
-162,-20,-0.04,0.16,0.78,0.7,-5,-17,-0.002,-0.1,0.02,0.02,0.02,0.02,0.02,0.021,0.021,0.021,0.021,0.022,0.022,0.023,0.023,0.023,0,0,0,0,-0.002,0,0,0,-0.002,0,-0.002,0,0,0,0.6,0.023,-6.00E-04
-271,-5,-0.98,0.26,1.59,1.2,-20,-3,-0.003,0,0.045,0.045,0.045,0.045,0.045,0.045,0.046,0.046,0.046,0.046,0.046,0.046,0.046,0.046,0,-0.001,0,-0.001,0,-0.002,0,0,0,0,0,0,0,0,1.3,0.046,-0.0012
526,12,0.2,0.1,0.07,0.2,-6,-11,-0.008,0.7,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.02,-5.00E-04
56,-40,0.66,0.04,0.49,-0.7,-8,-6,0,-0.7,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.018,-7.00E-04
-125,-38,-0.24,0.14,0.74,1.6,-13,-7,-0.017,-0.3,0.02,0.021,0.021,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,-0.002,0,-0.002,0,0,0,0,0,0,0,0,0,0,0,0.6,0.022,-0.0015
-214,2,0.22,0.1,1.18,-0.6,-9,-5,0.01,-0.6,0.032,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,-0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0.033,-8.00E-04
124,-42,-0.18,0.13,0.85,1.2,-17,1,-0.004,-0.2,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.036,-0.002
247,-28,0.99,0.31,0.4,-0.6,-19,-13,-0.008,-1.7,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.023,-0.0012
46,-21,0.2,0.03,0.47,-0.5,-6,-3,0.008,0.1,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0,0,0,0,-0.001,0,0,0,0,0,0,0,0,0,0.5,0.018,-5.00E-04
-74,17,-0.39,-0.12,0.55,0.1,-11,10,0.007,0.5,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0,0,0,0,0,0,0,0,0,0,-0.001,0,0,0,0.5,0.016,-7.00E-04
-68,71,0.46,0.18,0.64,0.3,-8,-19,-0.004,0,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0.6,0.021,-9.00E-04
220,-21,-0.24,0.08,0.35,-0.6,-14,-2,-0.002,0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.02,-9.00E-04
-5,10,0.26,0.14,0.61,0.5,-6,-15,-0.005,-0.3,0.021,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,-0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.022,-6.00E-04
-8,-45,-0.17,0.08,0.54,-0.5,-6,-9,0.012,0,0.016,0.017,0.017,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,-0.002,0,-0.003,0,0,0,0,0,0,0,0,0,0,0,0.5,0.019,-3.00E-04
48,3,-0.24,0.01,0.47,0.5,-5,3,-0.006,-1.5,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.018,-5.00E-04
124,-15,0.16,0.12,0.45,0.9,-8,-15,-0.006,0.4,0.018,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,-0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.02,-6.00E-04
101,-20,0.34,0.01,0.41,0.4,-11,4,0.009,-0.1,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.018,-0.001
200,-9,-0.28,0.13,0.37,-0.6,-16,-4,-0.004,0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.02,-9.00E-04
-32,1,-0.09,0.27,0.62,-0.5,-15,-18,-0.03,-0.4,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0,0,0,0,0,0,-0.003,0,0,0,0,0,0,0,0.6,0.022,-9.00E-04
464,19,-0.04,0.24,0.21,1.1,-14,-2,-0.011,-1.9,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.024,-0.0011
-67,-28,0.24,-0.06,0.88,-0.7,-7,13,0.008,-0.5,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.029,-6.00E-04
339,-19,0.06,0.11,0.22,-2.6,-11,-2,0.017,-0.6,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0,0,0,0,0,0,0,0,0,0,0,0,-0.001,0,0.5,0.019,-6.00E-04
-143,-10,0.08,0.09,0.66,0.3,-8,-8,-0.006,-0.1,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.019,-5.00E-04
6,-21,0.2,0.16,0.6,-1.4,-12,-13,0.017,0.1,0.02,0.02,0.02,0.02,0.02,0.021,0.021,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0,0,0,0,-0.002,0,-0.002,0,0,0,0,0,0,0,0.6,0.022,-8.00E-04
-302,-26,0.48,0.03,0.81,0.5,-12,4,-0.004,-1.6,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.018,-0.001
-248,52,-0.37,0.07,0.87,0.8,-18,13,-0.013,-0.7,0.024,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.023,-0.0017
-140,27,-0.28,0.1,0.67,-1.4,-8,-8,0.011,-0.3,0.018,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,-0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.019,-4.00E-04
58,-37,0.08,0.07,0.54,-0.7,-20,8,0.031,0.2,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.021,-0.0014
-158,6,0.32,0.06,0.68,0.4,-10,-6,-0.018,1.8,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.02,-0.0011
266,-37,0.28,0.07,0.6,-1.4,-13,-1,-0.001,0.5,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0.9,0.032,-0.0012
-455,2,0.06,0.37,1.09,1.3,-14,-31,-0.009,-0.2,0.018,0.018,0.018,0.02,0.02,0.021,0.021,0.021,0.021,0.021,0.021,0.022,0.022,0.025,0,0,-0.003,0,-0.002,0,0,0,0,0,-0.002,0,-0.004,0,0.7,0.025,-8.00E-04
-42,-28,-0.24,0.01,1.14,0.7,-18,7,-0.015,1.6,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,0.04,-0.0022
-39,-14,-0.09,-0.07,0.71,-0.2,-8,4,-0.012,1.3,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,-0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0.024,-8.00E-04
28,-15,0.27,0.26,0.74,1.4,-13,-19,-0.016,-0.5,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0.028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.028,-0.0012
236,-61,-0.16,-0.03,0.45,-0.6,-6,3,0.006,-0.1,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0.024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0.024,-4.00E-04
-36,-3,0.33,0.16,0.74,1.6,-4,-17,-0.01,-0.2,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0.025,-7.00E-04
